silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
colaborador,colaborador_data_extract,dbo__COLABORADOR_DATA_EXTRACT,dbo.COLABORADOR_DATA_EXTRACT,DEFER,REFINE,,,0,0,implemented,9,
colaborador,cause_analysis_permission,dbo__CauseAnalysisPermission,dbo.CauseAnalysisPermission,DIM,REUSE_AS_DIM,DIM_CAUSE_ANALYSIS_PERMISSION,,2,0,implemented,9,
colaborador,certificate,dbo__Certificate,dbo.Certificate,DIM,REUSE_AS_DIM,DIM_CERTIFICATE,,264,57,implemented,9,
colaborador,certificate_attachment,dbo__CertificateAttachment,dbo.CertificateAttachment,DIM,REUSE_AS_DIM,DIM_CERTIFICATE_ATTACHMENT,,202,47,implemented,9,
colaborador,change_history,dbo__ChangeHistory,dbo.ChangeHistory,DEFER,REFINE,,,0,0,implemented,9,
colaborador,consent_agreement,dbo__ConsentAgreement,dbo.ConsentAgreement,DIM,REUSE_AS_DIM,DIM_CONSENT_AGREEMENT,,1,1,implemented,9,
colaborador,curriculum_attachment,dbo__CurriculumAttachment,dbo.CurriculumAttachment,DIM,REUSE_AS_DIM,DIM_CURRICULUM_ATTACHMENT,,77,16,implemented,9,
colaborador,demand,dbo__Demand,dbo.Demand,DEFER,REFINE,,,0,0,implemented,9,
colaborador,demands_participants,dbo__DemandsParticipants,dbo.DemandsParticipants,DEFER,REFINE,,,0,0,implemented,9,
colaborador,discretionary_score_import,dbo__DiscretionaryScoreImport,dbo.DiscretionaryScoreImport,FACT,REUSE_AS_FACT,FACT_DISCRETIONARY_SCORE_IMPORT,,4251,9064,implemented,9,
colaborador,dreams,dbo__Dreams,dbo.Dreams,DIM,REUSE_AS_DIM,DIM_DREAMS,,257,96,implemented,9,
colaborador,education,dbo__Education,dbo.Education,FACT,REUSE_AS_FACT,FACT_EDUCATION,,783,238,implemented,9,
colaborador,education_attachment,dbo__EducationAttachment,dbo.EducationAttachment,DIM,REUSE_AS_DIM,DIM_EDUCATION_ATTACHMENT,,287,52,implemented,9,
